weapon,Axel,Star Impact,,0,A basic jab directly at the enemy! Deals 7 damage at 1 range.
weapon,Axel,Shooting Star,,0,"Axel makes a finger gun with his hands, and from it fires a star-shaped projectile made of his epithet’s energy. Deals 3 damage at 5 range."
talent,Axel,Wheat Town Beatdown,,2,"Whenever Axel successfully lands a hit, he can immediately perform another action, so long as it isn’t an action he’s taken previously this turn. The damage of this following action is halved rounded up, and if that chains into another attack it gets halved again into 1/4th its damage rounded up, and so on. Critical hits bypass this damage proration and just deal double their base. ✪✪✪ moves go up one level of proration and ✪✪✪✪✪ go up two, but even if they successfully land you cannot chain them into another hit."
talent,Axel,Bog-Standard Palette,,0,"Axel is immune to effects revolving around things “so awful they have actual effects” due to his awful tastes in everything. For example, attacks that use “bad music” to deal damage don’t affect him because he weirdly likes them. Same with food, movies, and pretty much anything you can think of. Can selectively not work based on RP reasons."
talent,Axel,Perfect Contact,,0,"Axel can telepathically communicate with anyone he knows, regardless of distance or plane. This communication is two-way, but must be initiated by Axel."
talent,Axel,Perfect Direction,,0,"Axel always knows the direction of true and magnetic north and if those things are fucky at the moment, and can naturally navigate to locations he’s been to before unless something is interrupting his ability to track."
talent,Axel,Wanderlust Form,,0,"By spending ✪✪✪✪✪ as a free action, Axel can enter a special form for the next two rounds where his hair turns blue and his energy becomes much much stronger, mixing the red white and blue colors into a purple. His rolls get the d12 advantage his passive can grant, he gets a passive +1 damage to all his attacks, and his ✪✪✪ and ✪✪✪✪✪ supers now ignore combo proration entirely."
talent,Axel,Ace In The Hole,,1,"Once Axel is at or below 1/4th of his max stamina rounded down, he no longer has to pay stamina for abilities until he goes back above that, and he immediately gains ✪✪✪ the first time this happens in a combat."
talent,Axel,Perfect Transport,,1,"As a movement action, Axel is able to teleport to a space adjacent to anyone he knows, regardless of distance or plane. However, this ability is also fairly easy to inhibit and tends to get muddled by planar whims or stress, occasionally disabling travel outside of the immediate vicinity. Axel cannot take anything other than what he normally carries with him."
passive,Axel,Spangled Stars,,1,"Whenever Axel lands a successful damaging hit on someone, he gets a ✪ star! He can only have a max of 5 ✪s at a time. He can spend one ✪ as a once per round anytime to give someone a sort of advantage, where they roll a 1d12 that is still judged on the d20 scale (that does not crit on 12) as their second advantage roll. He can also spend ✪s when using abilities to boost their power! [16 Prof] Fight Anticipation - Axel gets +✪ at the start of combat. [45 Prof] Star Point Anchor - Axel now keeps his ✪s between combats. [50 Prof] Granting 1d12 advantage no longer requires a roll to grant. Spending the ✪ makes it automatically trigger."
passive,Axel,Share The Love,,0,"Axel’s epithet gathers energy from people’s love. Via this technique a funny doctor (:O) helped him develop, Axel can send some of that energy back! As an unrolled main action that can’t combo, Axel can divvy up any of the ✪s he has to allies within 3 spaces, who can use them with actions to boost their level! Usually ✪ boosts a skill to an “EX” version, dealing slightly more damage and gaining some nice extra effect. ✪✪✪ and ✪✪✪✪✪ are escalating levels of super powered modifications with ✪✪✪✪✪ being basically Once Per Combat level."
ability,Axel,London Knuckle,1,0,"Axel does a dash forwards as energy comes off his fist. This deals 5 (7) damage as he dashes up to 6 spaces away. This can hit multiple targets, but the damage is reduced greatly after the first. The hit can either be an energy slice in which Axel passes through his targets, or it can be a punch that sends the targets flying back. Axel can combo even if the knockback hit is chosen by attacking them before they’d be launched back. ✪ - +3 damage. This rolls with the 1d12 advantage your passive grants. ✪✪✪ - This causes you to use London Knuckle up to three times. You have to roll for each usage but only pay stamina for one. Each hit prorates in your combo separately. This also only generates one ✪ even if multiple of the London Knuckles hit. ✪✪✪✪✪ - +5 damage. +6 range. +1 crit range. This hit only works on a single target as Axel punches a star-shaped weak point on the target, causing them to fly up to 10 spaces back. [14 Prof] Your basic attack and London Knuckle get +1 damage. [41 Prof] Your basic attack and London Knuckle get +1 damage."
